ID	BEDS	BATHS	SQFT	YEAR	LAST_SALE_PRICE	URL	LATITUDE	LONGITUDE	ELEMENTARY	MIDDLE	HIGH	HOME_TYPE	REMODELED	IRATING	ERATING	ADDRESS	CITY	STATE	ZIP_CODE	LOT_SIZE	LAST_SALE_DATE	IMAGE_URL
23	1	1	827	40	379000	http://www.redfin.com/CA/San-Mateo/828-N-El-Camino-Real-94401/unit-8/home/1242825	37.574112	-122.341354	9	8	8	2	0	3	3	828 N El Camino Real Unit 8	San Mateo	CA	94401		7/31/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
24	4	2	1460	36	980000	http://www.redfin.com/CA/San-Mateo/4108-Margaret-Ct-94403/home/2001821	37.531071	-122.283356	10	8	8	1	0	3	0	4108 MARGARET Ct	San Mateo	CA	94403	5200	8/25/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
25	1	1	693	49	407000	http://www.redfin.com/CA/San-Mateo/847-N-Humboldt-St-94401/unit-217/home/17308361	37.580692	-122.331261	9	8	8	2	0	2.5	0	847 N HUMBOLDT St unit 217	San Mateo	CA	94401	1114920	8/22/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
26	1	1	794	25	292880	http://www.redfin.com/CA/San-Mateo/211-S-Fremont-St-94401/unit-305/home/1872781	37.569206	-122.318405	9	8	5	2	0	3	4	211 S FREMONT St unit 305	San Mateo	CA	94401	106122	9/23/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
27	3	2.5	2060	38	1235000	http://www.redfin.com/CA/San-Mateo/1141-Shoal-Dr-94404/home/1648119	37.56237	-122.291916	9	8	8	2	0	4	4.5	1141 SHOAL Dr	San Mateo	CA	94404	2782	9/5/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
28	4	2.5	2200	41	1838000	http://www.redfin.com/CA/San-Mateo/609-Caribbean-Way-94402/home/1791725	37.547771	-122.324585	9	8	8	1	0	4	3	609 CARIBBEAN Way	San Mateo	CA	94402	6480	9/10/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
29	2	2	1786	34	1010000	http://www.redfin.com/CA/San-Mateo/555-Laurel-Ave-94401/unit-407/home/979188	37.563381	-122.321182	9	8	8	2	0	3	0	555 LAUREL Ave unit 407	San Mateo	CA	94401	92393	9/19/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
30	3	2	1860	64	1250000	http://www.redfin.com/CA/San-Mateo/328-Sylvan-Ave-94403/home/1631949	37.536507	-122.307755	9	8	8	1	1	3	4	328 SYLVAN Ave	San Mateo	CA	94403	5500	8/19/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
31	4	3	2900	75	1404000	http://www.redfin.com/CA/San-Mateo/345-Aragon-Blvd-94402/home/2053181	37.553146	-122.325821	9	8	8	1	0	4	4	345 Aragon Blvd	San Mateo	CA	94402		8/11/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
32	6	2.5	2610	39	1373750	http://www.redfin.com/CA/San-Mateo/1503-Cherrywood-Dr-94403/home/2054194	37.523102	-122.327187	9	8	8	1	0	2	0	1503 CHERRYWOOD Dr	San Mateo	CA	94403	7548	7/30/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
33	5	3.5	2490	55	1700000	http://www.redfin.com/CA/San-Mateo/2629-Monterey-St-94403/home/2057199	37.536304	-122.320602	9	8	5	1	1	4.5	4	2629 MONTEREY St	San Mateo	CA	94403	6875	9/2/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
34	2	1	913	49	530000	http://www.redfin.com/CA/San-Mateo/821-N-Humboldt-St-94401/unit-211/home/12402640	37.580692	-122.331261	9	8	8	2	1	2.5	0	821 N HUMBOLDT St unit 211	San Mateo	CA	94401	1114920	8/9/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
35	2	1	1130	73	820000	http://www.redfin.com/CA/San-Mateo/311-31st-Ave-94403/home/1477256	37.535637	-122.306595	9	8	5	1	0	3	3	311 31st Ave	San Mateo	CA	94403		8/20/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
38	3	2	1410	64	1200000	http://www.redfin.com/CA/San-Mateo/2658-Garfield-St-94403/home/1623633	37.54142	-122.307816	9	8	8	1	1	3	3	2658 GARFIELD St	San Mateo	CA	94403	9882	9/4/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
42	5	2	1960	64	835000	http://www.redfin.com/CA/San-Mateo/1403-Mefferd-Ave-94401/home/703041	37.578259	-122.318871	9	8	8	1	0	3.5	3	1403 MEFFERD Ave	San Mateo	CA	94401	6000	8/7/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
44	4	3.5	2603	65	2200000	http://www.redfin.com/CA/San-Mateo/412-Stephen-Rd-94403/home/1415255	37.533527	-122.307312	9	8	8	1	1	5	3.5	412 STEPHEN Rd	San Mateo	CA	94403	12240	9/9/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
45	4	2	1540	58	1138000	http://www.redfin.com/CA/San-Mateo/1738-Celeste-Dr-94402/home/2050354	37.55582	-122.304352	9	8	8	1	1	4	3.5	1738 CELESTE Dr	San Mateo	CA	94402	5400	8/29/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
