SALE TYPE	HOME TYPE	ADDRESS	CITY	STATE	ZIP	LIST PRICE	BEDS	BATHS	LOCATION	SQFT	LOT SIZE	YEAR BUILT	PARKING SPOTS	PARKING TYPE	DAYS ON MARKET	STATUS	NEXT OPEN HOUSE DATE	NEXT OPEN HOUSE START TIME	NEXT OPEN HOUSE END TIME	RECENT REDUCTION DATE	ORIGINAL LIST PRICE	LAST SALE DATE	LAST SALE PRICE	URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING)	SOURCE	LISTING ID	ORIGINAL SOURCE	FAVORITE	INTERESTED	LATITUDE	LONGITUDE	IS SHORT SALE
Past Sale	Single Family Residential	58 Tilton Ter	San Mateo	CA	94401		2	1	94401	1240		1940										8/21/14	850000	http://www.redfin.com/CA/San-Mateo/58-Tilton-Ter-94401/home/1218886				N	Y	37.567333	-122.32885	
Past Sale	Condo/Coop	200 ELM St #104	San Mateo	CA	94401	399000	1	1	San Mateo	865	39501	1962	1	Garage		Sold					399000	8/22/14	511000	http://www.redfin.com/CA/San-Mateo/200-Elm-St-94401/unit-104/home/17308150	MLSListings Inc. (MLSLI)	81429628	Gilmartin Group	N	Y	37.569363	-122.330742	FALSE
Past Sale	Single Family Residential	1019 Fiesta Dr	San Mateo	CA	94403		3	2	94403	1210		1954										8/20/14	800000	http://www.redfin.com/CA/San-Mateo/1019-Fiesta-Dr-94403/home/1642108				N	Y	37.549496	-122.298889	
Past Sale	Condo/Coop	2115 VISTA DEL MAR	San Mateo	CA	94404	675000	2	2.5	Edgewater Isle	1121	79908	1986	1	Garage		Sold					675000	8/18/14	677000	http://www.redfin.com/CA/San-Mateo/2115-Vista-Del-Mar-94404/unit-8/home/1811486	MLSListings Inc. (MLSLI)	81428809	Coldwell Banker-San Carlos	N	Y	37.553295	-122.286865	FALSE
Past Sale	Single Family Residential	117 11TH Ave	San Mateo	CA	94401	1298000	4	3	Hayward Park	2039	4400	1925	1	Garage		Sold					129	8/19/14	1301000	http://www.redfin.com/CA/San-Mateo/117-11th-Ave-94401/home/1210991	MLSListings Inc. (MLSLI)	81429034	Coldwell Banker	N	Y	37.55825	-122.317116	FALSE
Past Sale	Single Family Residential	259 SANDPIPER Ct	Foster City	CA	94404	1285000	4	3	Foster City	2450	6572	1965	1	Garage		Sold					1285000	8/28/14	1285000	http://www.redfin.com/CA/Foster-City/259-Sandpiper-Ct-94404/home/1062159	MLSListings Inc. (MLSLI)	81428696	Coldwell Banker	N	Y	37.568897	-122.261955	FALSE
Past Sale	Single Family Residential	617 PLYMOUTH Ln	Foster City	CA	94404	1095000	2	2.5	Whalers Cove	1740	4000	1977				Sold					1095000	8/28/14	1350000	http://www.redfin.com/CA/Foster-City/617-Plymouth-Ln-94404/home/1877306	MLSListings Inc. (MLSLI)	81430079	Coldwell Banker-Menlo Park-El Camino	N	Y	37.545322	-122.268532	FALSE
Past Sale	Single Family Residential	687 JOANNE Dr	San Mateo	CA	94402	954900	3	2	San Mateo	1870	6400	1992				Sold					954900	8/29/14	925000	http://www.redfin.com/CA/San-Mateo/687-Joanne-Dr-94402/home/721424	MLSListings Inc. (MLSLI)	81429964	HomeSmart Platinum Living	N	Y	37.558666	-122.305679	FALSE
Past Sale	Single Family Residential	1738 CELESTE Dr	San Mateo	CA	94402	979000	4	2	San Mateo	1540	5400	1956				Sold					979000	8/29/14	1138000	http://www.redfin.com/CA/San-Mateo/1738-Celeste-Dr-94402/home/2050354	MLSListings Inc. (MLSLI)	81429610	Marshall Realty	N	Y	37.55582	-122.304352	FALSE
Past Sale	Single Family Residential	3143 LOS PRADOS St	San Mateo	CA	94403	1155000	3	2	San Mateo	1931	7938	1960	1	Garage		Sold					1155000	8/29/14	1155000	http://www.redfin.com/CA/San-Mateo/3143-Los-Prados-St-94403/home/1582481	MLSListings Inc. (MLSLI)	81426118	Portola Realtors	N	Y	37.544724	-122.279839	FALSE
Past Sale	Single Family Residential	1601 DALE Ave	San Mateo	CA	94401	785000	4	2	San Mateo	1250	5044	1951	1	Garage		Sold					785000	8/29/14	746300	http://www.redfin.com/CA/San-Mateo/1601-Dale-Ave-94401/home/712405	MLSListings Inc. (MLSLI)	81429022	Better Homes and Gardens Real Estate J.F. Finnegan	N	Y	37.567913	-122.303207	FALSE
Past Sale	Single Family Residential	912 E 5TH Ave	San Mateo	CA	94402	849000	3	2.5	San Mateo	1410	4680	1941	1	Garage		Sold					849000	8/29/14	980000	http://www.redfin.com/CA/San-Mateo/912-E-5th-Ave-94402/home/1693321	MLSListings Inc. (MLSLI)	81430069	Today Sothebys International Realty	N	Y	37.567726	-122.315247	FALSE
Past Sale	Condo/Coop	3015 LOS PRADOS St	San Mateo	CA	94403	459000	2	2	San Mateo	950	58815	1963				Sold					459000	8/29/14	500000	http://www.redfin.com/CA/San-Mateo/3015-Los-Prados-St-94403/home/1419706	MLSListings Inc. (MLSLI)	81429817	Coldwell Banker	N	Y	37.545265	-122.282982	FALSE
Past Sale	Townhouse	1027 Yates Way #5614	San Mateo	CA	94403		2	2.5	94403	1254		2000										8/25/14	800000	http://www.redfin.com/CA/San-Mateo/1027-Yates-Way-94403/unit-5614/home/1004834				N	Y	37.545998	-122.294205	
Past Sale	Condo/Coop	490 Mariners Island Blvd Apt 209	San Mateo	CA	94404		1	1	94404	975		1978										8/26/14	491000	http://www.redfin.com/CA/San-Mateo/490-Mariners-Island-Blvd-94404/unit-209/home/1310481				N	Y	37.567299	-122.284843	
Past Sale	Condo/Coop	1969 Vista Del Mar #2	San Mateo	CA	94404		2	2	94404	904		1984										8/25/14	551100	http://www.redfin.com/CA/San-Mateo/1969-Vista-Del-Mar-94404/unit-2/home/2041739				N	Y	37.553986	-122.288055	
Past Sale	Single Family Residential	631 Harrow Ave	San Mateo	CA	94402		3	1.5	94402	1360		1946										8/25/14	1120000	http://www.redfin.com/CA/San-Mateo/631-Harrow-Ave-94402/home/1935368				N	Y	37.560276	-122.310944	
