SALE TYPE	HOME TYPE	ADDRESS	CITY	STATE	ZIP	BEDS
Past Sale	Condo/Coop	249 Elm St #105	San Mateo	CA	94401	2
Past Sale	Townhouse	1167 SHORELINE Dr	San Mateo	CA	94404	2
Past Sale	Single Family Residential	529 HOBART Ave	San Mateo	CA	94402	2
Past Sale	Condo/Coop	231 N EL CAMINO REAL #101	San Mateo	CA	94401	1
Past Sale	Single Family Residential	1556 Cottage Grove Ave	San Mateo	CA	94401	4
Past Sale	Condo/Coop	114 24TH Ave #3	San Mateo	CA	94403	1
Past Sale	Condo/Coop	7105 ADMIRALTY Ln	Foster City	CA	94404	3
Past Sale	Condo/Coop	324 CATALPA St #306	San Mateo	CA	94401	0
Past Sale	Condo/Coop	6102 ADMIRALTY Ln	Foster City	CA	94404	1
Past Sale	Single Family Residential	2650 Foster St	San Mateo	CA	94403	4
Past Sale	Townhouse	1149 Shoreline Dr Unit 18-1-1	San Mateo	CA	94404	3
Past Sale	Townhouse	863 Cabot Ln	Foster City	CA	94404	3
Past Sale	Townhouse	1108 Balclutha Dr	Foster City	CA	94404	2
Past Sale	Townhouse	700 King Ln	Foster City	CA	94404	3
Past Sale	Townhouse	838 ANDROMEDA Ln Unit B3	Foster City	CA	94404	3
Past Sale	Condo/Coop	644 PORTOFINO Ln	Foster City	CA	94404	2
Past Sale	Single Family Residential	200 MAINSAIL Ct	Foster City	CA	94404	4
Past Sale	Single Family Residential	436 CORNELL Ave	San Mateo	CA	94402	4
Past Sale	Condo/Coop	177 N EL CAMINO REAL #22	San Mateo	CA	94401	1
Past Sale	Condo/Coop	1021 SHORELINE Dr	San Mateo	CA	94404	2
Past Sale	Single Family Residential	514 S Delaware St	San Mateo	CA	94402	2
Past Sale	Condo/Coop	904 Beach Park Blvd #121	Foster City	CA	94404	2
Past Sale	Condo/Coop	3055 Los Prados St Apt 235	San Mateo	CA	94403	2
Past Sale	Single Family Residential	926 FLEETWOOD Dr	San Mateo	CA	94402	2
Past Sale	Single Family Residential	1705 Eisenhower St	San Mateo	CA	94403	3
Past Sale	Condo/Coop	40 W 3rd Ave Apt 704	San Mateo	CA	94402	2
Past Sale	Condo/Coop	6106 Admiralty Ln	Foster City	CA	94404	1
Past Sale	Condo/Coop	1518 Lago St Apt 204	San Mateo	CA	94403	2
Past Sale	Single Family Residential	535 Starboard Dr	San Mateo	CA	94404	3
Past Sale	Condo/Coop	324 CATALPA St #218	San Mateo	CA	94401	0
Past Sale	Single Family Residential	701 S NORFOLK St	San Mateo	CA	94401	4
Past Sale	Single Family Residential	249 Puffin Ct	Foster City	CA	94404	3
Past Sale	Single Family Residential	29 Creekside Ln	San Mateo	CA	94401	3
Past Sale	Condo/Coop	490 Mariners Island Blvd Apt 319	San Mateo	CA	94404	1
Past Sale	Condo/Coop	1518 Lago St Apt 102	San Mateo	CA	94403	2
Past Sale	Townhouse	2044 S DELAWARE St	San Mateo	CA	94403	2
Past Sale	Condo/Coop	1 Baldwin Ave Apt 610	San Mateo	CA	94401	2
Past Sale	Condo/Coop	1 Baldwin Ave Apt 515	San Mateo	CA	94401	1
Past Sale	Townhouse	2271 ARMADA Way	San Mateo	CA	94404	2
Past Sale	Single Family Residential	1669 S NORFOLK St	San Mateo	CA	94403	3
Past Sale	Single Family Residential	250 BRIDGE Rd	Hillsborough	CA	94010	4
Past Sale	Single Family Residential	1511 PALM Ave	San Mateo	CA	94402	3
Past Sale	Single Family Residential	241 Gramercy Dr	San Mateo	CA	94402	3
Past Sale	Townhouse	606 S Humboldt St	San Mateo	CA	94402	2
Past Sale	Townhouse	808 CENTAURUS Ln	Foster City	CA	94404	3
Past Sale	Condo/Coop	1206 ADMIRALTY Ln	Foster City	CA	94404	3
Past Sale	Single Family Residential	825 W GRANT Pl	San Mateo	CA	94402	2
Past Sale	Single Family Residential	289 SURFBIRD Isle	Foster City	CA	94404	4
Past Sale	Single Family Residential	955 Rosewood Dr	San Mateo	CA	94401	3
Past Sale	Condo/Coop	815 Sea Spray Ln #103	Foster City	CA	94404	2
